strain	mean_perc1	mean_perc3
AB1	12.1666666666667	87.8333333333333
BRC20067	16.6267942583732	83.3732057416268
BRC20263	2.59259259259259	97.4074074074074
CB4852	9.43118184497495	90.568818155025
CB4856	100	0
CX11254	1.06100795755968	98.9389920424403
CX11262	5.17543859649123	94.8245614035088
CX11264	7.57575757575758	92.4242424242424
CX11271	24.5114942528736	75.4885057471264
CX11276	21.6908212560386	78.3091787439614
CX11285	19.9889258028793	80.0110741971207
CX11292	6.64335664335664	93.3566433566434
CX11307	7.87284610814023	92.1271538918598
CX11314	12.4542124542125	87.5457875457875
CX11315	3.63607990012484	96.3639200998752
DL200	15.0375939849624	84.9624060150376
DL226	21.2121212121212	78.7878787878788
DL238	100	0
ECA189	15.8730158730159	84.1269841269841
ECA248	13.7556561085973	86.2443438914027
ECA250	12.7544732032811	87.245526796719
ECA251	15.5080213903743	84.4919786096257
ECA259	16.8742368742369	83.1257631257631
ECA348	9.125	90.875
ECA349	27.0833333333333	72.9166666666667
ECA363	100	0
ECA372	16.6892044173991	83.3107955826009
ECA592	28.1818181818182	71.8181818181818
ECA594	24.4836182336182	75.5163817663818
ECA703	100	0
ECA705	7.58962623951182	92.4103737604882
ECA710	8.33862433862434	91.6613756613757
ECA738	20.6081081081081	79.3918918918919
ECA743	10.1344086021505	89.8655913978495
ECA745	41.4814814814815	58.5185185185185
ECA777	4.59456219974019	95.4054378002598
ECA812	100	0
ECA923	8.16552011673963	91.8344798832604
ED3005	7.87011779919581	92.1298822008042
ED3012	14.1558441558442	85.8441558441558
ED3017	18.8534278959811	81.1465721040189
ED3040	21.0684273709484	78.9315726290516
ED3048	18.1227598566308	81.8772401433692
ED3049	22.3958333333333	77.6041666666667
ED3052	11.5071919949969	88.4928080050031
ED3073	6.61686896981015	93.3831310301899
ED3077	6.07263107263107	93.9273689273689
EG4347	1.38888888888889	98.6111111111111
EG4724	19.6969696969697	80.3030303030303
EG4946	7.69230769230769	92.3076923076923
GXW1	15.7407407407407	84.2592592592593
JT11398	5.62962962962963	94.3703703703704
JU1088	19.212962962963	80.787037037037
JU1172	16.6304347826087	83.3695652173913
JU1200	20.0657894736842	79.9342105263158
JU1212	18.1313131313131	81.8686868686869
JU1213	20.7985022640195	79.2014977359805
JU1242	16.990380664995	83.009619335005
JU1246	17.1066252587992	82.8933747412008
JU1395	14.6604938271605	85.3395061728395
JU1409	5.55555555555556	94.4444444444444
JU1440	8.99503722084367	91.0049627791563
JU1491	5.55555555555556	94.4444444444444
JU1530	15.8092076956174	84.1907923043826
JU1543	5.33333333333333	94.6666666666667
JU1568	8.97321428571428	91.0267857142857
JU1581	62.5	37.5
JU1586	9.68253968253968	90.3174603174603
JU1652	8.24915824915825	91.7508417508417
JU1666	9.93080993080993	90.0691900691901
JU1792	3.96491228070175	96.0350877192982
JU1793	5.88235294117647	94.1176470588235
JU1808	6.84697855750487	93.1530214424951
JU1896	100	0
JU1934	14.1456582633053	85.8543417366947
JU2001	10.4054054054054	89.5945945945946
JU2007	100	0
JU2016	11.5260017050298	88.4739982949702
JU2017	7.84231200897868	92.1576879910213
JU2106	96.4912280701754	3.50877192982456
JU2131	4.42901234567901	95.570987654321
JU2141	11.1111111111111	88.8888888888889
JU2234	9.3681917211329	90.6318082788671
JU2250	11.7532645242005	88.2467354757995
JU2257	8.22041553748871	91.7795844625113
JU2464	28.4547152194211	71.5452847805789
JU2466	21.6666666666667	78.3333333333333
JU2478	15.9488795518207	84.0511204481793
JU2513	17.5238095238095	82.4761904761905
JU2519	20.9183673469388	79.0816326530612
JU2522	6.71550671550672	93.2844932844933
JU2526	25.6578947368421	74.3421052631579
JU2534	9.17065390749601	90.829346092504
JU2565	8.39774260826892	91.6022573917311
JU2566	15.4524089306698	84.5475910693302
JU2570	6.60672660672661	93.3932733932734
JU2572	10.3059581320451	89.6940418679549
JU2575	16.3015873015873	83.6984126984127
JU2576	8.469892680419	91.530107319581
JU2578	10.0706057227796	89.9293942772204
JU2581	22.7845254161044	77.2154745838956
JU2586	8.37606837606838	91.6239316239316
JU2592	6.88259109311741	93.1174089068826
JU2600	17.6688453159041	82.3311546840959
JU2610	8.29346092503987	91.7065390749601
JU2619	15.7407407407407	84.2592592592593
JU2811	22.1367521367521	77.8632478632479
JU2838	4.24394319131161	95.7560568086884
JU2841	10.6481481481481	89.3518518518518
JU2853	23.2323232323232	76.7676767676768
JU2862	7.32208967503085	92.6779103249691
JU2866	6.26262626262626	93.7373737373737
JU2879	9.4017094017094	90.5982905982906
JU2906	7.89473684210526	92.1052631578947
JU2907	32.397437644814	67.602562355186
JU310	4.65894465894466	95.3410553410553
JU311	7.69230769230769	92.3076923076923
JU3128	12.9411764705882	87.0588235294118
JU3132	22.5	77.5
JU3134	11.8303571428571	88.1696428571429
JU3140	4.17021276595745	95.8297872340426
JU3144	15.67574107683	84.32425892317
JU323	12.6702565726956	88.2821243796854
JU346	3.44827586206897	96.551724137931
JU360	11.4661654135338	88.5338345864662
JU367	8.15425620523072	91.8457437947693
JU394	17.8867102396514	82.1132897603486
JU397	12.8342245989305	87.1657754010695
JU406	10.515873015873	89.484126984127
JU440	9.83772819472617	90.1622718052738
JU642	100	0
JU774	5.29891304347826	94.7010869565217
JU775	15.3645047762695	84.6354952237305
JU778	9.88455988455988	90.1154401154401
JU782	9.2032967032967	90.7967032967033
JU792	26.9828722002635	73.0171277997365
JU830	20.8333333333333	79.1666666666667
JU847	7.65736179529283	92.3426382047072
KR314	27.7412280701754	72.2587719298246
LKC34	6.4521563342318	93.5478436657682
MY10	14.2594859241126	85.7405140758874
MY16	16.2549019607843	83.7450980392157
MY18	90.7407407407407	9.25925925925926
MY1	25	75
MY2147	6.65869218500798	93.341307814992
MY2212	10.7445421961551	89.2554578038449
MY23	8.86948300741404	91.130516992586
MY2573	3.7037037037037	96.2962962962963
MY2585	4.71064814814815	95.2893518518518
MY2713	12.037037037037	87.962962962963
MY518	18.38004671338	81.61995328662
MY772	7.69230769230769	92.3076923076923
MY795	16.5	83.5
MY920	10.6209150326797	89.3790849673203
N2	1.58730158730159	98.4126984126984
NIC166	6.41969555762659	93.5803044423734
NIC199	12.3426573426573	87.6573426573427
NIC1	7.27969348659004	92.72030651341
NIC207	13.8834154351396	86.1165845648604
NIC231	7.87037037037037	92.1296296296296
NIC236	14.5873944119558	85.4126055880442
NIC242	21.4896214896215	78.5103785103785
NIC251	100	0
NIC252	18.8784395680947	81.1215604319053
NIC255	17.0296430732002	82.9703569267998
NIC256	9.53510436432638	90.4648956356736
NIC258	5.22501906941266	94.7749809305873
NIC259	24.2174062607499	75.7825937392501
NIC260	21.6770186335404	78.3229813664596
NIC261	19.5753611671455	80.4246388328545
NIC265	100	0
NIC266	9.70760233918129	90.2923976608187
NIC267	11.0805860805861	88.9194139194139
NIC268	0	100
NIC271	9.96279454319967	90.0372054568003
NIC274	14.5614035087719	85.4385964912281
NIC275	15.0997150997151	84.9002849002849
NIC276	2.02821869488536	97.9717813051146
NIC277	9.37705225630922	90.6229477436908
NIC2	20.2645502645503	79.7354497354497
NIC3	31.25	68.75
NIC501	21.9570687878941	78.0429312121059
NIC511	9.55204216073781	90.4479578392622
NIC513	2.82186948853616	97.1781305114638
NIC514	5.71428571428571	94.2857142857143
NIC515	7.42063492063492	92.5793650793651
NIC523	5.51515151515152	94.4848484848485
NIC526	100	0
NIC527	3.24074074074074	96.7592592592593
NIC528	100	0
NIC529	10.4770531400966	89.5229468599034
PS2025	4.95894909688013	95.0410509031199
PX179	21.5037593984962	78.4962406015038
QG2075	10.843137254902	89.156862745098
QG556	8.34639498432602	91.653605015674
QW947	24.0365111561866	75.9634888438134
QX1212	6.34682658670665	93.6531734132934
QX1233	26.2541806020067	73.7458193979933
QX1791	100	0
QX1792	8.24915824915825	91.7508417508417
QX1793	17.1679197994987	82.8320802005013
QX1794	12.0071684587814	87.9928315412186
RC301	11.3154960981048	88.6845039018952
WN2050	20.952380952381	79.047619047619
XZ1513	6.83932925312236	93.1606707468776
XZ1515	11.8020541549953	88.1979458450047
XZ1516	100	0
